Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,30.617328643798828,0.9066781401634216,0.26081910729408264,2389935,211473
Large,30.668212890625,0.9085199236869812,0.25668245553970337,2954833,266668
Small,30.374330520629883,0.9057042598724365,0.26545605063438416,2066882,180421
