Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,24.881004333496094,0.7198358178138733,0.3101923167705536,5643545,494218
Large,25.007652282714844,0.7357261776924133,0.27850157022476196,11576020,1034014
Small,24.73505401611328,0.7131317257881165,0.3212997317314148,4725203,412208
