Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
base,26.657814025878906,0.7667207717895508,0.2705106735229492,7015478,625169
large,26.60939598083496,0.7662103176116943,0.25442472100257874,12595767,1130261
small,26.639530181884766,0.7630383968353271,0.28363943099975586,5147007,459055
