Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
base,21.51873016357422,0.5871826410293579,0.3787722885608673,9178472,790275
large,21.51702880859375,0.5919990539550781,0.3609687387943268,16946939,1498458
small,21.477075576782227,0.5814872980117798,0.3891158401966095,7899672,600735
