Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,27.327232360839844,0.8435425758361816,0.1566379815340042,11282576,974589
Large,27.597869873046875,0.8547822833061218,0.13327868282794952,19640330,1760169
Small,27.157690048217773,0.8359593749046326,0.17132045328617096,8975935,786263
