Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,31.44016456604004,0.9246974587440491,0.1327238231897354,4469748,406389
Large,31.528194427490234,0.9271400570869446,0.12745121121406555,5889766,546953
Small,31.207937240600586,0.9230514764785767,0.13558855652809143,4062856,366218
