Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
base,32.971248626708984,0.9454997181892395,0.18773233890533447,4009825,363630
large,33.18266296386719,0.9479921460151672,0.18291524052619934,5485446,508162
small,32.854434967041016,0.9443618059158325,0.19114410877227783,3669073,329331
