Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
base,29.70733642578125,0.914483368396759,0.1908160150051117,4497668,383888
large,29.823936462402344,0.9164561033248901,0.18606099486351013,5987152,521766
small,29.60178565979004,0.9128558039665222,0.19385583698749542,4097835,346406
