Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,29.627408981323242,0.9023737907409668,0.2629184424877167,3330941,297526
Large,29.722579956054688,0.9029720425605774,0.2602129578590393,3777075,340694
Small,29.56462860107422,0.900977373123169,0.26730772852897644,2776664,246195
