Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
base,25.88878631591797,0.8794581294059753,0.1569104641675949,5369026,475576
large,26.00704574584961,0.8827745318412781,0.14767828583717346,8583342,781540
small,25.823089599609375,0.8768969774246216,0.16257858276367188,4590452,400178
