Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
base,22.607807159423828,0.806288480758667,0.2414272427558899,4198273,377911
large,22.660751342773438,0.8092325329780579,0.22979357838630676,5754362,528929
small,22.592636108398438,0.8045991063117981,0.24496346712112427,3826678,344316
