Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,32.08766555786133,0.9239909052848816,0.20626312494277954,2858380,255215
Large,32.293113708496094,0.9264578223228455,0.19801954925060272,4035787,373287
Small,31.9124755859375,0.9218838214874268,0.2096615582704544,2529688,222986
