Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians
Baseline,23.209623336791992,0.6345546245574951,0.39620405435562134,3781873,340146
Large,23.17416000366211,0.6444672346115112,0.3509990870952606,11420761,1034592
Small,22.8682861328125,0.615978479385376,0.43034785985946655,2695849,211173
